Starting protocol generation for liver_organoids with prompt b8f1010cfd96694f172266a628361ccb... using model llama3.1:8b
Generating protocol 1 for model llama3.1:8b
**Liver Organoid Generation Protocol from H9 hESC**

| Day | Medium | Rocker/Impeller Speed (RPM) | Container Type/Size | Compound(s) | Temp (°C) | pH | Dissolved Oxygen% (DO%) |
| 1   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL) (0.2 mL), bFGF (10 μM) (0.2 mL) | 37°C | 7.4 | 20% |
| 1   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | BMP4 (200 ng/mL) (0.2 mL), Wnt3a (100 ng/mL) (0.2 mL) | 37°C | 7.4 | 20% |
| 2   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL) (0.2 mL), bFGF (10 μM) (0.2 mL) | 37°C | 7.4 | 20% |
| 3   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | BMP4 (200 ng/mL) (0.2 mL), Wnt3a (100 ng/mL) (0.2 mL) | 37°C | 7.4 | 20% |
| 4   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | FGF8 (10 μM) (0.2 mL), ESGRO (100 ng/mL) (0.2 mL) | 37°C | 7.4 | 20% |
| 5   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL) (0.2 mL), bFGF (10 μM) (0.2 mL) | 37°C | 7.4 | 20% |
| 6   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | BMP4 (200 ng/mL) (0.2 mL), Wnt3a (100 ng/mL) (0.2 mL) | 37°C | 7.4 | 20% |
| 7   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | FGF8 (10 μM) (0.2 mL), ESGRO (100 ng/mL) (0.2 mL) | 37°C | 7.4 | 20% |
| 8   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | TGF-β1 (10 ng/mL) (0.2 mL), Heparin (100 μg/mL) (0.2 mL) | 37°C | 7.4 | 20% |
| 9   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL) (0.2 mL), bFGF (10 μM) (0.2 mL) | 37°C | 7.4 | 20% |
| 10  | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | BMP4 (200 ng/mL) (0.2 mL), Wnt3a (100 ng/mL) (0.2 mL) | 37°C | 7.4 | 20% |
| 11  | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | FGF8 (10 μM) (0.2 mL), ESGRO (100 ng/mL) (0.2 mL) | 37°C | 7.4 | 20% |
| 12  | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | TGF-β1 (10 ng/mL) (0.2 mL), Heparin (100 μg/mL) (0.2 mL) | 37°C | 7.4 | 20% |
| 13  | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL) (0.2 mL), bFGF (10 μM) (0.2 mL) | 37°C | 7.4 | 20% |
| 14  | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | BMP4 (200 ng/mL) (0.2 mL), Wnt3a (100 ng/mL) (0.2 mL) | 37°C | 7.4 | 20% |
| 15  | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | FGF8 (10 μM) (0.2 mL), ESGRO (100 ng/mL) (0.2 mL) | 37°C | 7.4 | 20% |
| 16  | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | TGF-β1 (10 ng/mL) (0.2 mL), Heparin (100 μg/mL) (0.2 mL) | 37°C | 7.4 | 20% |
| 17  | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL) (0.2 mL), bFGF (10 μM) (0.2 mL) | 37°C | 7.4 | 20% |
| 18  | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | BMP4 (200 ng/mL) (0.2 mL), Wnt3a (100 ng/mL) (0.2 mL) | 37°C | 7.4 | 20% |
| 19  | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | FGF8 (10 μM) (0.2 mL), ESGRO (100 ng/mL) (0.2 mL) | 37°C | 7.4 | 20% |
| 20  | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | TGF-β1 (10 ng/mL) (0.2 mL), Heparin (100 μg/mL) (0.2 mL) | 37°C | 7.4 | 20% |
| 21  | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL) (0.2 mL), bFGF (10 μM) (0.2 mL) | 37°C | 7.4 | 20% |

Generating protocol 385 for model llama3.1:8b
Here is the protocol schedule:

| Day | Medium | Rocker/Impeller Speed (RPM) | Container Type/Size | Compound(s) | Temp (°C) | pH | Dissolved Oxygen% (DO%) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 0   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | B27 supplement (1x), Penicillin-Streptomycin (100 U/mL) | 37 | 7.2-7.4 | 20% |
| 0   |        |        |                        |      |          |       |         |
| 1   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), BMP-4 (25 ng/mL) | 37 | 7.2-7.4 | 20% |
| 1   |        |        |                        | Retinoic acid (0.5 μM), Y27632 (10 μM) |      |       |         |
| 2   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), BMP-4 (25 ng/mL) | 37 | 7.2-7.4 | 20% |
| 2   |        |        |                        | FGF-1 (10 ng/mL), Y27632 (10 μM) |      |       |         |
| 3   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), BMP-4 (25 ng/mL) | 37 | 7.2-7.4 | 20% |
| 3   |        |        |                        | FGF-1 (10 ng/mL), IWR-1e (5 μM) |      |       |         |
| 4   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | BMP-4 (25 ng/mL), WNT3A (100 ng/mL) | 37 | 7.2-7.4 | 20% |
| 4   |        |        |                        | FGF-1 (10 ng/mL), Y27632 (10 μM) |      |       |         |
| 5   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | BMP-4 (25 ng/mL), WNT3A (100 ng/mL) | 37 | 7.2-7.4 | 20% |
| 5   |        |        |                        | FGF-1 (10 ng/mL), BSA (0.1%) |      |       |         |
| 6   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | BMP-4 (25 ng/mL), WNT3A (100 ng/mL) | 37 | 7.2-7.4 | 20% |
| 6   |        |        |                        | BSA (0.1%), A83-01 (10 μM) |      |       |         |
| 7   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | TGF-β3 (25 ng/mL), EGF (20 ng/mL) | 37 | 7.2-7.4 | 20% |
| 7   |        |        |                        | A83-01 (10 μM), BSA (0.1%) |      |       |         |
| 8   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | TGF-β3 (25 ng/mL), EGF (20 ng/mL) | 37 | 7.2-7.4 | 20% |
| 8   |        |        |                        | FGF-1 (10 ng/mL), Y27632 (10 μM) |      |       |         |
| 9   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | TGF-β3 (25 ng/mL), EGF (20 ng/mL) | 37 | 7.2-7.4 | 20% |
| 9   |        |        |                        | SB-431542 (10 μM), BSA (0.1%) |      |       |         |
| 10  | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | TGF-β3 (25 ng/mL), EGF (20 ng/mL) | 37 | 7.2-7.4 | 20% |
| 10  |        |        |                        | A83-01 (10 μM), FGF-1 (10 ng/mL) |      |       |         |
| 11  | Matrigel | 50 RPM | 24-well plate, 0.5 mL/well | HGF (100 ng/mL), EGF (20 ng/mL) | 37 | 7.2-7.4 | 10% |
| 11  |        |        |                        | VEGF-A (50 ng/mL), BSA (0.1%) |      |       |         |
| 12  | Matrigel | 50 RPM | 24-well plate, 0.5 mL/well | HGF (100 ng/mL), EGF (20 ng/mL) | 37 | 7.2-7.4 | 10% |
| 12  |        |        |                        | PDGF-BB (50 ng/mL), BSA (0.1%) |      |       |         |
| 13  | Matrigel | 50 RPM | 24-well plate, 0.5 mL/well | HGF (100 ng/mL), EGF (20 ng/mL) | 37 | 7.2-7.4 | 10% |
| 13  |        |        |                        | FGF-1 (10 ng/mL), Y27632 (10 μM) |      |       |         |
| 14  | Matrigel | 50 RPM | 24-well plate, 0.5 mL/well | HGF (100 ng/mL), EGF (20 ng/mL) | 37 | 7.2-7.4 | 10% |
| 14  |        |        |                        | BSA (0.1%), SB-431542 (10 μM) |      |       |         |
| 15  | Matrigel | 50 RPM | 24-well plate, 0.5 mL/well | HGF (100 ng/mL), EGF (20 ng/mL) | 37 | 7.2-7.4 | 10% |
| 15  |        |        |                        | VEGF-A (50 ng/mL), BSA (0.1%) |      |       |         |
| 16  | Matrigel | 50 RPM | 24-well plate, 0.5 mL/well | HGF (100 ng/mL), EGF (20 ng/mL) | 37 | 7.2-7.4 | 10% |
| 16  |        |        |                        | PDGF-BB (50 ng/mL), BSA (0.1%) |      |       |         |
| 17  | Matrigel | 50 RPM | 24-well plate, 0.5 mL/well | HGF (100 ng/mL), EGF (20 ng/mL) | 37 | 7.2-7.4 | 10% |
| 17  |        |        |                        | FGF-1 (10 ng/mL), Y27632 (10 μM) |      |       |         |
| 18  | Matrigel | 50 RPM | 24-well plate, 0.5 mL/well | HGF (100 ng/mL), EGF (20 ng/mL) | 37 | 7.2-7.4 | 10% |
| 18  |        |        |                        | BSA (0.1%), SB-431542 (10 μM) |      |       |         |
| 19  | Matrigel | 50 RPM | 24-well plate, 0.5 mL/well | HGF (100 ng/mL), EGF (20 ng/mL) | 37 | 7.2-7.4 | 10% |
| 19  |        |        |                        | VEGF-A (50 ng/mL), BSA (0.1%) |      |       |         |
| 20  | Matrigel | 50 RPM | 24-well plate, 0.5 mL/well | HGF (100 ng/mL), EGF (20 ng/mL) | 37 | 7.2-7.4 | 10% |
| 20  |        |        |                        | PDGF-BB (50 ng/mL), BSA (0.1%) |      |       |         |

Note: The concentrations and combinations of growth factors used in this protocol are based on previous studies demonstrating their ability to promote the differentiation of human embryonic stem cells into endoderm and subsequently into hepatocyte-like cells (HLCs).
Generating protocol 386 for model llama3.1:8b
Here is the protocol schedule:


| Day | Medium | Rocker/Impeller Speed (RPM) | Container Type/Size | Compound(s) | Temp | pH | Dissolved Oxygen% (DO%) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 0   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | None | 37°C | 7.4 | 20% |
| 1   | mTeSR1 | 100 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), bFGF (10 ng/mL) | 37°C | 7.4 | 20% |
| 2   | mTeSR1 | 100 RPM | 6-well plate, 9.5 cm²/well | Activin A (150 ng/mL), bFGF (12 ng/mL) | 37°C | 7.3 | 18% |
| 3   | DMEM/F-12 + Glutamax | 50 RPM | 24-well plate, 1.9 cm²/well | VEGF (20 ng/mL), Heparin (2 μg/mL) | 37°C | 7.4 | 15% |
| 4   | DMEM/F-12 + Glutamax | 50 RPM | 24-well plate, 1.9 cm²/well | VEGF (25 ng/mL), Heparin (3 μg/mL) | 37°C | 7.3 | 15% |
| 5   | HepatoZYME | 100 RPM | 6-well plate, 9.5 cm²/well | TGF-β1 (2 ng/mL), BMP4 (10 ng/mL) | 37°C | 7.4 | 18% |
| 6   | HepatoZYME | 100 RPM | 6-well plate, 9.5 cm²/well | TGF-β1 (3 ng/mL), BMP4 (15 ng/mL) | 37°C | 7.3 | 16% |
| 7   | DMEM/F-12 + Glutamax | 50 RPM | 24-well plate, 1.9 cm²/well | HGF (20 ng/mL), EGF (10 ng/mL) | 37°C | 7.4 | 15% |
| 8   | DMEM/F-12 + Glutamax | 50 RPM | 24-well plate, 1.9 cm²/well | HGF (25 ng/mL), EGF (12 ng/mL) | 37°C | 7.3 | 14% |
| 9   | HepatoZYME | 100 RPM | 6-well plate, 9.5 cm²/well | FGF4 (10 ng/mL), SHH (20 ng/mL) | 37°C | 7.4 | 18% |
| 10  | HepatoZYME | 100 RPM | 6-well plate, 9.5 cm²/well | FGF4 (15 ng/mL), SHH (25 ng/mL) | 37°C | 7.3 | 16% |
| 11  | DMEM/F-12 + Glutamax | 50 RPM | 24-well plate, 1.9 cm²/well | PPARγ (2 μM), β-Cryptoxanthin (10 ng/mL) | 37°C | 7.4 | 15% |
| 12  | DMEM/F-12 + Glutamax | 50 RPM | 24-well plate, 1.9 cm²/well | PPARγ (3 μM), β-Cryptoxanthin (15 ng/mL) | 37°C | 7.3 | 14% |
| 13  | HepatoZYME | 100 RPM | 6-well plate, 9.5 cm²/well | HNF4α (10 ng/mL), SOX9 (20 ng/mL) | 37°C | 7.4 | 18% |
| 14  | HepatoZYME | 100 RPM | 6-well plate, 9.5 cm²/well | HNF4α (15 ng/mL), SOX9 (25 ng/mL) | 37°C | 7.3 | 16% |
| 15  | DMEM/F-12 + Glutamax | 50 RPM | 24-well plate, 1.9 cm²/well | VEGF-A165 (20 ng/mL), FGF2 (10 ng/mL) | 37°C | 7.4 | 15% |
| 16  | DMEM/F-12 + Glutamax | 50 RPM | 24-well plate, 1.9 cm²/well | VEGF-A165 (25 ng/mL), FGF2 (12 ng/mL) | 37°C | 7.3 | 14% |
| 17  | HepatoZYME | 100 RPM | 6-well plate, 9.5 cm²/well | BMP4 (20 ng/mL), WNT3A (10 ng/mL) | 37°C | 7.4 | 18% |
| 18  | HepatoZYME | 100 RPM | 6-well plate, 9.5 cm²/well | BMP4 (25 ng/mL), WNT3A (15 ng/mL) | 37°C | 7.3 | 16% |
| 19  | DMEM/F-12 + Glutamax | 50 RPM | 24-well plate, 1.9 cm²/well | HGF (20 ng/mL), EGF (10 ng/mL) | 37°C | 7.4 | 15% |
| 20  | DMEM/F-12 + Glutamax | 50 RPM | 24-well plate, 1.9 cm²/well | HGF (25 ng/mL), EGF (12 ng/mL) | 37°C | 7.3 | 14% |
| 21  | HepatoZYME | 100 RPM | 6-well plate, 9.5 cm²/well | FGF4 (15 ng/mL), SHH (25 ng/mL) | 37°C | 7.4 | 18% |

Generating protocol 387 for model llama3.1:8b
Here is the protocol schedule:

| Day | Medium | Rocker/Impeller Speed (RPM) | Container Type/Size | Compound(s) | Temp | pH | Dissolved Oxygen% (DO%) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 0   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | None | 37°C | 7.4 | 20% |
| 1   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), BMP4 (50 ng/mL) | 37°C | 7.4 | 20% |
| 2   | mTeSR1 | 0 RPM | 12-well plate, 4.3 cm²/well | FGF2 (200 ng/mL) | 37°C | 7.4 | 20% |
| 3   | DMEM/F12 | 0 RPM | 24-well plate, 2.0 cm²/well | VEGF-A (100 ng/mL), HGF (50 ng/mL) | 37°C | 7.5 | 18% |
| 4   | DMEM/F12 | 10 RPM | 24-well plate, 2.0 cm²/well | Noggin (200 ng/mL), FGF1 (100 ng/mL) | 37°C | 7.5 | 18% |
| 5   | DMEM/F12 | 20 RPM | 48-well plate, 1.8 cm²/well | TGF-β1 (10 ng/mL), ESGRO (20 μM) | 37°C | 7.5 | 16% |
| 6   | DMEM/F12 | 0 RPM | 96-well plate, 0.4 cm²/well | GDF8 (100 ng/mL), HGF (50 ng/mL) | 37°C | 7.5 | 14% |
| 7   | Hepatocyte Basal Medium | 10 RPM | 48-well plate, 1.8 cm²/well | TGF-β1 (5 ng/mL), PMA (100 nM) | 37°C | 7.4 | 12% |
| 8   | Hepatocyte Basal Medium | 20 RPM | 96-well plate, 0.4 cm²/well | FGF2 (200 ng/mL), HGF (50 ng/mL) | 37°C | 7.4 | 10% |
| 9   | Hepatocyte Basal Medium | 30 RPM | 6-well plate, 9.5 cm²/well | VEGF-A (100 ng/mL), ESGRO (20 μM) | 37°C | 7.4 | 8% |
| 10  | Hepatocyte Basal Medium | 40 RPM | 12-well plate, 4.3 cm²/well | TGF-β1 (10 ng/mL), GDF8 (100 ng/mL) | 37°C | 7.4 | 6% |
| 11  | Hepatocyte Basal Medium | 50 RPM | 24-well plate, 2.0 cm²/well | HGF (50 ng/mL), ESGRO (20 μM) | 37°C | 7.4 | 4% |
| 12  | Liver Induction Medium | 10 RPM | 48-well plate, 1.8 cm²/well | FGF2 (200 ng/mL), VEGF-A (100 ng/mL) | 37°C | 7.5 | 2% |
| 13  | Liver Induction Medium | 20 RPM | 96-well plate, 0.4 cm²/well | TGF-β1 (5 ng/mL), PMA (100 nM) | 37°C | 7.5 | 2% |
| 14  | Liver Induction Medium | 30 RPM | 6-well plate, 9.5 cm²/well | HGF (50 ng/mL), ESGRO (20 μM) | 37°C | 7.5 | 4% |
| 15  | Liver Induction Medium | 40 RPM | 12-well plate, 4.3 cm²/well | VEGF-A (100 ng/mL), GDF8 (100 ng/mL) | 37°C | 7.5 | 6% |
| 16  | Liver Induction Medium | 50 RPM | 24-well plate, 2.0 cm²/well | TGF-β1 (10 ng/mL), FGF1 (100 ng/mL) | 37°C | 7.5 | 8% |
| 17  | Matrigel Matrix | 10 RPM | 48-well plate, 1.8 cm²/well | ESGRO (20 μM), VEGF-A (100 ng/mL) | 37°C | 7.4 | 10% |
| 18  | Matrigel Matrix | 20 RPM | 96-well plate, 0.4 cm²/well | HGF (50 ng/mL), TGF-β1 (5 ng/mL) | 37°C | 7.4 | 12% |
| 19  | Matrigel Matrix | 30 RPM | 6-well plate, 9.5 cm²/well | GDF8 (100 ng/mL), FGF2 (200 ng/mL) | 37°C | 7.4 | 14% |
| 20  | Matrigel Matrix | 40 RPM | 12-well plate, 4.3 cm²/well | PMA (100 nM), VEGF-A (100 ng/mL) | 37°C | 7.4 | 16% |
| 21  | Matrigel Matrix | 50 RPM | 24-well plate, 2.0 cm²/well | TGF-β1 (10 ng/mL), ESGRO (20 μM) | 37°C | 7.4 | 18% |

Generating protocol 388 for model llama3.1:8b
Here is the protocol for generating liver organoids from H9 human embryonic stem cells (hESC):

| Day | Medium | Rocker/Impeller Speed (RPM) | Container Type/Size | Compound(s) | Temp | pH | Dissolved Oxygen% (DO%) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 0   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | None | 37°C | 7.4 | 20% |
| 1   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), bFGF (50 ng/mL) | 37°C | 7.4 | 20% |
| 2   | mTeSR1 | 80 RPM | 6-well plate, 9.5 cm²/well | Wnt3a (200 ng/mL), CHIR99021 (3 μM) | 37°C | 7.4 | 20% |
| 3   | E8 medium | 50 RPM | 12-well plate, 2 cm²/well | FGF1 (20 ng/mL), PDGFB (10 ng/mL) | 37°C | 7.6 | 15% |
| 4   | E8 medium | 50 RPM | 12-well plate, 2 cm²/well | Retinoic acid (RA) (0.5 μM), DKK1 (200 ng/mL) | 37°C | 7.6 | 15% |
| 5   | E8 medium | 50 RPM | 24-well plate, 4 cm²/well | HGF (20 ng/mL), EGF (10 ng/mL) | 37°C | 7.6 | 15% |
| 6   | E8 medium | 50 RPM | 48-well plate, 1.5 cm²/well | BMP4 (100 ng/mL), FGF1 (20 ng/mL) | 37°C | 7.6 | 15% |
| 7   | DMEM/F12 | 0 RPM | 24-well plate, 4 cm²/well | Glucose (10%), B27 supplement | 37°C | 7.3 | 8% |
| 8   | DMEM/F12 | 0 RPM | 48-well plate, 1.5 cm²/well | Insulin (5 μg/mL), HGF (20 ng/mL) | 37°C | 7.3 | 8% |
| 9   | DMEM/F12 | 0 RPM | 96-well plate, 0.4 cm²/well | Glutamine (2 mM), BSA (1 mg/mL) | 37°C | 7.3 | 8% |
| 10  | DMEM/F12 | 0 RPM | 96-well plate, 0.4 cm²/well | Ascorbic acid (50 μg/mL), Vitamin E (5 μg/mL) | 37°C | 7.3 | 8% |
| 11  | Hepatocyte growth medium | 0 RPM | 48-well plate, 1.5 cm²/well | HGF (20 ng/mL), EGF (10 ng/mL) | 37°C | 7.6 | 15% |
| 12  | Hepatocyte growth medium | 0 RPM | 96-well plate, 0.4 cm²/well | Glucose (10%), Albumin (5 mg/mL) | 37°C | 7.3 | 8% |
| 13  | Human liver cell culture medium | 0 RPM | 96-well plate, 0.4 cm²/well | Insulin (5 μg/mL), HGF (20 ng/mL) | 37°C | 7.6 | 15% |
| 14  | Human liver cell culture medium | 0 RPM | 48-well plate, 1.5 cm²/well | Glutamine (2 mM), BSA (1 mg/mL) | 37°C | 7.3 | 8% |
| 15  | Human liver cell culture medium | 0 RPM | 24-well plate, 4 cm²/well | Ascorbic acid (50 μg/mL), Vitamin E (5 μg/mL) | 37°C | 7.6 | 15% |
| 16  | Human liver cell culture medium | 0 RPM | 12-well plate, 2 cm²/well | FGF1 (20 ng/mL), PDGFB (10 ng/mL) | 37°C | 7.3 | 8% |
| 17  | H9V medium | 80 RPM | 6-well plate, 9.5 cm²/well | Wnt3a (200 ng/mL), CHIR99021 (3 μM) | 37°C | 7.4 | 20% |
| 18  | H9V medium | 80 RPM | 12-well plate, 2 cm²/well | Activin A (100 ng/mL), bFGF (50 ng/mL) | 37°C | 7.4 | 20% |
| 19  | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | FGF1 (20 ng/mL), PDGFB (10 ng/mL) | 37°C | 7.4 | 20% |
| 20  | mTeSR1 | 0 RPM | 12-well plate, 2 cm²/well | RA (0.5 μM), DKK1 (200 ng/mL) | 37°C | 7.4 | 20% |
| 21  | mTeSR1 | 0 RPM | 24-well plate, 4 cm²/well | HGF (20 ng/mL), EGF (10 ng/mL) | 37°C | 7.6 | 15% |

Note: The medium and supplements listed are based on standard recipes for human liver cell culture, but may need to be adjusted according to specific experimental requirements.
Generating protocol 389 for model llama3.1:8b
| Day | Medium | Rocker/Impeller Speed (RPM) | Container Type/Size | Compound(s) | Temp (°C) | pH | Dissolved Oxygen (%) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 0   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | B27 Supplement (2% v/v) | 37°C | 7.4 | 20% |
| 1   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), bFGF (10 ng/mL) | 37°C | 7.4 | 20% |
| 2   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | BMP4 (200 ng/mL), Wnt3a (100 ng/mL) | 37°C | 7.4 | 20% |
| 3   | E8 Media | 0 RPM | V-bottom 24-well plate, 2 mL/well | VEGF (50 ng/mL), FGF-2 (10 ng/mL) | 37°C | 7.5 | 18% |
| 4   | E8 Media | 0 RPM | V-bottom 24-well plate, 2 mL/well | HGF (100 ng/mL), EGF (20 ng/mL) | 37°C | 7.5 | 18% |
| 5   | DMEM/F12 | 50 RPM | U-bottom 96-well plate, 0.1 mL/well | IGF-1 (10 ng/mL), PDGFA (100 ng/mL) | 37°C | 7.3 | 15% |
| 6   | DMEM/F12 | 50 RPM | U-bottom 96-well plate, 0.1 mL/well | FGF-4 (20 ng/mL), VEGF-A165 (100 ng/mL) | 37°C | 7.3 | 15% |
| 7   | Iscove's M199 | 50 RPM | T25 flask, 5 mL/flask | BDNF (10 ng/mL), NT-4 (20 ng/mL) | 37°C | 7.2 | 12% |
| 8   | Iscove's M199 | 0 RPM | T75 flask, 15 mL/flask | FGF-1 (50 ng/mL), EGF (30 ng/mL) | 37°C | 7.2 | 10% |
| 9   | IMDM | 50 RPM | U-bottom 96-well plate, 0.5 mL/well | VEGF-C (100 ng/mL), FGF-1 (20 ng/mL) | 37°C | 7.1 | 12% |
| 10  | IMDM | 50 RPM | U-bottom 96-well plate, 0.5 mL/well | PDGFB (50 ng/mL), HGF (30 ng/mL) | 37°C | 7.1 | 12% |
| 11  | DMEM/F12 | 50 RPM | U-bottom 96-well plate, 0.2 mL/well | EGF (20 ng/mL), FGF-2 (10 ng/mL) | 37°C | 7.3 | 15% |
| 12  | DMEM/F12 | 50 RPM | U-bottom 96-well plate, 0.2 mL/well | VEGF-A165 (100 ng/mL), PDGFA (20 ng/mL) | 37°C | 7.3 | 15% |
| 13  | E8 Media | 0 RPM | V-bottom 24-well plate, 1 mL/well | BDNF (20 ng/mL), NT-4 (30 ng/mL) | 37°C | 7.5 | 18% |
| 14  | E8 Media | 50 RPM | V-bottom 24-well plate, 1 mL/well | FGF-2 (10 ng/mL), IGF-1 (20 ng/mL) | 37°C | 7.5 | 18% |
| 15  | DMEM/F12 | 0 RPM | U-bottom 96-well plate, 0.3 mL/well | HGF (40 ng/mL), EGF (30 ng/mL) | 37°C | 7.3 | 10% |
| 16  | DMEM/F12 | 50 RPM | U-bottom 96-well plate, 0.3 mL/well | VEGF-C (150 ng/mL), PDGFB (20 ng/mL) | 37°C | 7.3 | 10% |
| 17  | Iscove's M199 | 50 RPM | T25 flask, 8 mL/flask | FGF-1 (30 ng/mL), BDNF (40 ng/mL) | 37°C | 7.2 | 12% |
| 18  | Iscove's M199 | 0 RPM | T75 flask, 20 mL/flask | IGF-1 (50 ng/mL), EGF (40 ng/mL) | 37°C | 7.2 | 10% |
| 19  | IMDM | 0 RPM | U-bottom 96-well plate, 0.6 mL/well | VEGF-A165 (200 ng/mL), FGF-1 (30 ng/mL) | 37°C | 7.1 | 12% |
| 20  | IMDM | 50 RPM | U-bottom 96-well plate, 0.6 mL/well | PDGFA (30 ng/mL), HGF (40 ng/mL) | 37°C | 7.1 | 12% |
| 21  | DMEM/F12 | 0 RPM | U-bottom 96-well plate, 0.4 mL/well | FGF-2 (20 ng/mL), IGF-1 (30 ng/mL) | 37°C | 7.3 | 15% |

Note: The medium and supplements used in this protocol are for illustrative purposes only and may need to be adjusted based on the specific requirements of your cells.
Generating protocol 390 for model llama3.1:8b
| Day | Medium | Rocker/Impeller Speed (RPM) | Container Type/Size | Compounds | Temp (°C) | pH | Dissolved Oxygen% (DO%) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 0   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | None | 37°C | 7.4 | 20% |
| 1   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), bFGF (50 ng/mL) | 37°C | 7.3 | 18% |
| 2   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | BMP4 (200 ng/mL), FGF10 (100 ng/mL) | 37°C | 7.3 | 18% |
| 3   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | VEGF-A (150 ng/mL), Heparin (1 μg/mL) | 37°C | 7.2 | 16% |
| 4   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | TGF-β1 (5 ng/mL), Insulin (10 μM) | 37°C | 7.3 | 18% |
| 5   | E8 media | 0 RPM | 24-well plate, 4.5 cm²/well | None | 37°C | 7.2 | 15% |
| 6   | E8 media | 50 RPM | 24-well plate, 4.5 cm²/well | HGF (25 ng/mL), EGF (10 ng/mL) | 37°C | 7.1 | 12% |
| 7   | E8 media | 50 RPM | 24-well plate, 4.5 cm²/well | FGF2 (20 ng/mL), PDGFB (100 ng/mL) | 37°C | 7.2 | 15% |
| 8   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | Activin A (50 ng/mL), bFGF (25 ng/mL) | 37°C | 7.3 | 18% |
| 9   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | BMP4 (100 ng/mL), FGF10 (50 ng/mL) | 37°C | 7.2 | 16% |
| 10  | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | VEGF-A (100 ng/mL), Heparin (500 ng/mL) | 37°C | 7.3 | 18% |
